seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
II	711429	711437	9	-	10	2	Exon (YBR245C_mRNA/YBR245C, exon 1 of 1)	2	708150	711539	3390	2	YBR245C	YBR245C_mRNA	110
II	714449	714537	89	-	172	14	Promoter	2	713004	714455	1452	2	YBR247C	YBR247C_mRNA	0
II	716528	716561	34	-	14	3	Promoter	2	714807	716465	1659	2	YBR248C	YBR248C_mRNA	-96
II	718074	718098	25	-	61	6	Promoter	2	716882	717994	1113	2	YBR249C	YBR249C_mRNA	-104
II	718130	718130	1	-	7	1	Promoter	2	716882	717994	1113	2	YBR249C	YBR249C_mRNA	-136
II	724271	724271	1	-	4	1	Promoter	2	723736	724263	528	2	YBR254C	YBR254C_mRNA	-8
II	727095	727111	17	-	20	2	Promoter	2	726618	727074	457	2	YBR255C-A	YBR255C-A_mRNA	-37
II	728076	728169	94	-	110	15	Promoter	2	727386	728102	717	2	YBR256C	YBR256C_mRNA	0
II	730157	730157	1	-	7	1	Promoter	2	729734	730162	429	2	YBR258C	YBR258C_mRNA	5
II	730185	730200	16	-	22	3	Promoter	2	729734	730162	429	2	YBR258C	YBR258C_mRNA	-38
II	734627	734680	54	-	47	7	Promoter	2	732639	734639	2001	2	YBR260C	YBR260C_mRNA	0
II	735573	735573	1	-	3	1	Promoter	2	734832	735530	699	2	YBR261C	YBR261C_mRNA	-43
II	736050	736099	50	-	106	11	Promoter	2	735720	736040	321	2	YBR262C	YBR262C_mRNA	-59
II	738361	738407	47	-	13	4	Promoter	2	737770	738369	600	2	YBR264C	YBR264C_mRNA	0
II	742577	742597	21	-	82	6	Promoter	2	742160	742576	417	2	YBR269C	YBR269C_mRNA	-21
II	744670	744670	1	-	6	1	Promoter	2	742761	744398	1638	2	YBR270C	YBR270C_mRNA	-272
II	747810	747833	24	-	27	5	Promoter	2	746361	747803	1443	2	YBR272C	YBR272C_mRNA	-30
II	749379	749433	55	-	48	6	Promoter	2	748061	749371	1311	2	YBR273C	YBR273C_mRNA	-62
II	757220	757220	1	-	3	1	Promoter	2	751356	757106	5751	2	YBR275C	YBR275C_mRNA	-114
II	764720	764742	23	-	11	3	Promoter	2	762784	764697	1914	2	YBR280C	YBR280C_mRNA	-45
II	767637	767655	19	-	10	3	Promoter	2	764970	767606	2637	2	YBR281C	YBR281C_mRNA	-49
II	770544	770594	51	-	31	4	Promoter	2	768943	770415	1473	2	YBR283C	YBR283C_mRNA	-179
II	779504	779508	5	-	30	2	Promoter	2	778012	779463	1452	2	YBR288C	YBR288C_mRNA	-45
II	784658	784658	1	-	3	1	Promoter	2	783673	784572	900	2	YBR291C	YBR291C_mRNA	-86
II	786831	786870	40	-	14	4	Downstream (2-3kb)	2	784702	785073	372	2	YBR292C	YBR292C_mRNA	-1797
II	792057	792067	11	-	8	2	Distal Intergenic	2	796798	798522	1725	2	YBR296C	YBR296C_mRNA	6465
II	798588	798588	1	-	5	1	Promoter	2	796798	798522	1725	2	YBR296C	YBR296C_mRNA	-66
II	804855	804901	47	-	37	6	Downstream (2-3kb)	2	805035	805256	222	2	YBR298C-A	YBR298C-A_mRNA	401
II	811486	811486	1	-	9	1	Promoter	2	810340	811479	1140	2	YBR302C	YBR302C_mRNA	-7
III	17234	17274	41	+	30	6	Promoter	3	17290	18561	1272	1	YCL063W	YCL063W_mRNA	-16
III	23552	23586	35	+	35	5	Promoter	3	23584	23925	342	1	YCL058W-A	YCL058W-A_mRNA	0
III	23614	23614	1	+	4	1	Promoter	3	23584	23925	342	1	YCL058W-A	YCL058W-A_mRNA	30
III	24754	24782	29	+	50	8	Promoter	3	24768	26906	2139	1	YCL057W	YCL057W_mRNA	0
III	29047	29047	1	+	3	1	Downstream (1-2kb)	3	27929	28936	1008	1	YCL055W	YCL055W_mRNA	1118
III	32634	32634	1	+	3	1	Exon (YCL054W_mRNA/YCL054W, exon 1 of 1)	3	31449	33974	2526	1	YCL054W	YCL054W_mRNA	1185
III	35556	35579	24	+	11	3	Promoter	3	35865	37616	1752	1	YCL051W	YCL051W_mRNA	-286
III	35620	35620	1	+	5	1	Promoter	3	35865	37616	1752	1	YCL051W	YCL051W_mRNA	-245
III	50405	50405	1	+	10	1	Promoter	3	50584	50943	360	1	YCL042W	YCL042W_mRNA	-179
III	50778	50829	52	+	63	10	Promoter	3	50838	52340	1503	1	YCL040W	YCL040W_mRNA	-9
III	51383	51383	1	+	3	1	Exon (YCL040W_mRNA/YCL040W, exon 1 of 1)	3	50838	52340	1503	1	YCL040W	YCL040W_mRNA	545
III	51433	51452	20	+	6	2	Exon (YCL040W_mRNA/YCL040W, exon 1 of 1)	3	50838	52340	1503	1	YCL040W	YCL040W_mRNA	595
III	51563	51563	1	+	4	1	Exon (YCL040W_mRNA/YCL040W, exon 1 of 1)	3	50838	52340	1503	1	YCL040W	YCL040W_mRNA	725
III	52611	52625	15	+	36	3	Promoter	3	52645	54882	2238	1	YCL039W	YCL039W_mRNA	-20
III	52652	52687	36	+	10	3	Promoter	3	52645	54882	2238	1	YCL039W	YCL039W_mRNA	7
III	61602	61637	36	+	27	5	Promoter	3	61658	62722	1065	1	YCL034W	YCL034W_mRNA	-21
III	63388	63425	38	+	29	7	Promoter	3	63441	64481	1041	1	YCL032W	YCL032W_mRNA	-16
III	70080	70123	44	+	44	8	Promoter	3	70150	71367	1218	1	YCL028W	YCL028W_mRNA	-27
III	79100	79100	1	+	5	1	Promoter	3	79162	82275	3114	1	YCL024W	YCL024W_mRNA	-62
III	85051	85051	1	+	10	1	Promoter	3	85102	90415	5314	1	YCL019W	YCL019W	-51
III	85550	85558	9	+	7	2	Exon (YCL020W/YCL020W, exon 1 of 1)	3	85102	86418	1317	1	YCL020W	YCL020W	448
III	96178	96178	1	+	3	1	Promoter	3	96281	101191	4911	1	YCL014W	YCL014W_mRNA	-103
III	106990	107015	26	+	67	7	Promoter	3	107023	107417	395	1	YCL005W-A	YCL005W-A_mRNA	-8
III	109027	109027	1	+	12	1	Promoter	3	109105	110670	1566	1	YCL004W	YCL004W_mRNA	-78
III	111838	111913	76	+	97	14	Promoter	3	111916	112482	567	1	YCL001W	YCL001W_mRNA	-3
III	114609	114609	1	+	3	1	Downstream (1-2kb)	3	113770	114024	255	1	YCL001W-B	YCL001W-B_mRNA	839
III	114655	114655	1	+	5	1	Downstream (1-2kb)	3	113770	114024	255	1	YCL001W-B	YCL001W-B_mRNA	885
III	116404	116404	1	+	3	1	Downstream (2-3kb)	3	115685	115999	315	1	YCR001W	YCR001W_mRNA	719
III	118595	118611	17	+	40	3	Promoter	3	118620	119171	552	1	YCR003W	YCR003W_mRNA	-9
III	125606	125606	1	+	5	1	Downstream (2-3kb)	3	127716	127789	74	1	tN(GUU)C	tN(GUU)C_tRNA	-2110
III	128736	128736	1	+	3	1	Exon (YCR008W_mRNA/YCR008W, exon 1 of 1)	3	128470	130281	1812	1	YCR008W	YCR008W_mRNA	266
III	133782	133782	1	+	5	1	Distal Intergenic	3	137746	138996	1251	1	YCR012W	YCR012W_mRNA	-3964
III	137672	137706	35	+	266	6	Promoter	3	137746	138996	1251	1	YCR012W	YCR012W_mRNA	-40
III	137770	137770	1	+	4	1	Promoter	3	137746	138996	1251	1	YCR012W	YCR012W_mRNA	24
III	137806	137832	27	+	13	3	Promoter	3	137746	138996	1251	1	YCR012W	YCR012W_mRNA	60
III	137898	137898	1	+	4	1	Exon (YCR012W_mRNA/YCR012W, exon 1 of 1)	3	137746	138996	1251	1	YCR012W	YCR012W_mRNA	152
III	143594	143617	24	+	48	8	Promoter	3	143634	144506	873	1	YCR016W	YCR016W_mRNA	-17
III	147875	147875	1	+	3	1	Downstream (2-3kb)	3	149920	149991	72	1	tM(CAU)C	tM(CAU)C_tRNA	-2045
III	147902	147915	14	+	12	2	Downstream (2-3kb)	3	149920	149991	72	1	tM(CAU)C	tM(CAU)C_tRNA	-2005
III	152726	152726	1	+	3	1	Promoter	3	152837	153928	1092	1	YCR019W	YCR019W_mRNA	-111
III	155262	155297	36	+	17	3	Promoter	3	155320	155556	237	1	YCR020W-B	YCR020W-B_mRNA	-23
III	157864	157864	1	+	3	1	Distal Intergenic	3	155320	155556	237	1	YCR020W-B	YCR020W-B_mRNA	2544
III	160698	160698	1	+	3	1	Distal Intergenic	3	155320	155556	237	1	YCR020W-B	YCR020W-B_mRNA	5378
III	169008	169042	35	+	44	6	Distal Intergenic	3	177183	177282	100	1	snR65	snR65_snoRNA	-8141
III	178994	179033	40	+	16	4	Promoter	3	179520	186023	6504	1	YCR032W	YCR032W_mRNA	-487
III	179406	179406	1	+	3	1	Promoter	3	179520	186023	6504	1	YCR032W	YCR032W_mRNA	-114
III	186261	186293	33	+	33	4	Promoter	3	186489	190169	3681	1	YCR033W	YCR033W_mRNA	-196
III	188470	188470	1	+	10	1	Exon (YCR033W_mRNA/YCR033W, exon 1 of 1)	3	186489	190169	3681	1	YCR033W	YCR033W_mRNA	1981
III	189522	189522	1	+	3	1	Exon (YCR033W_mRNA/YCR033W, exon 1 of 1)	3	190592	191635	1044	1	YCR034W	YCR034W_mRNA	-1070
III	190566	190566	1	+	6	1	Promoter	3	190592	191635	1044	1	YCR034W	YCR034W_mRNA	-26
III	193257	193303	47	+	28	4	Promoter	3	193297	194298	1002	1	YCR036W	YCR036W_mRNA	0
III	202756	202756	1	+	3	1	Distal Intergenic	3	200911	201243	333	1	YCR041W	YCR041W_mRNA	1845
III	208134	208134	1	+	3	1	Promoter	3	208751	209101	351	1	YCR045W-A	YCR045W-A_mRNA	-617
III	211885	211910	26	+	8	2	Promoter	3	211929	213761	1833	1	YCR048W	YCR048W_mRNA	-19
III	214044	214077	34	+	92	8	Promoter	3	214071	214739	669	1	YCR051W	YCR051W_mRNA	0
III	214117	214117	1	+	3	1	Promoter	3	214071	214739	669	1	YCR051W	YCR051W_mRNA	46
III	214948	214983	36	+	39	5	Promoter	3	214994	216445	1452	1	YCR052W	YCR052W_mRNA	-11
III	216593	216593	1	+	12	1	Promoter	3	216697	218241	1545	1	YCR053W	YCR053W_mRNA	-104
III	216622	216656	35	+	29	4	Promoter	3	216697	218241	1545	1	YCR053W	YCR053W_mRNA	-41
III	224374	224427	54	+	23	4	Promoter	3	224399	224734	336	1	YCR060W	YCR060W_mRNA	0
III	225538	225538	1	+	7	1	Promoter	3	225563	227458	1896	1	YCR061W	YCR061W_mRNA	-25
III	229122	229122	1	+	3	1	Promoter	3	229310	231004	1695	1	YCR065W	YCR065W_mRNA	-188
III	229232	229246	15	+	10	2	Promoter	3	229310	231004	1695	1	YCR065W	YCR065W_mRNA	-64
III	231450	231450	1	+	6	1	Promoter	3	231500	232963	1464	1	YCR066W	YCR066W_mRNA	-50
III	237060	237088	29	+	24	3	Promoter	3	237214	238776	1563	1	YCR068W	YCR068W_mRNA	-126
III	238890	238934	45	+	86	10	Promoter	3	239055	240011	957	1	YCR069W	YCR069W_mRNA	-121
III	246939	246950	12	+	20	2	Promoter	3	246963	247910	948	1	YCR073W-A	YCR073W-A_mRNA	-13
III	248947	248971	25	+	12	2	Promoter	3	248975	249202	228	1	YCR075W-A	YCR075W-A_mRNA	-4
III	252781	252781	1	+	4	1	Promoter	3	252845	254173	1329	1	YCR079W	YCR079W_mRNA	-64
III	254349	254357	9	+	25	3	Promoter	3	254371	258654	4284	1	YCR081W	YCR081W_mRNA	-14
III	258834	258903	70	+	163	14	Promoter	3	258883	259269	387	1	YCR082W	YCR082W_mRNA	0
III	259543	259569	27	+	20	2	Promoter	3	259578	259961	384	1	YCR083W	YCR083W_mRNA	-9
III	263342	263348	7	+	6	2	Promoter	3	263392	263964	573	1	YCR086W	YCR086W_mRNA	-44
III	265014	265034	21	+	42	7	Promoter	3	265068	266846	1779	1	YCR088W	YCR088W_mRNA	-34
III	266153	266171	19	+	7	2	Exon (YCR088W_mRNA/YCR088W, exon 1 of 1)	3	265068	266846	1779	1	YCR088W	YCR088W_mRNA	1085
III	267138	267138	1	+	6	1	Promoter	3	267434	272263	4830	1	YCR089W	YCR089W_mRNA	-296
III	274330	274375	46	+	55	8	Promoter	3	274404	276566	2163	1	YCR091W	YCR091W_mRNA	-29
III	274449	274449	1	+	3	1	Promoter	3	274404	276566	2163	1	YCR091W	YCR091W_mRNA	45
III	280038	280055	18	+	26	3	Promoter	3	280117	286443	6327	1	YCR093W	YCR093W_mRNA	-62
III	280083	280125	43	+	82	5	Promoter	3	280117	286443	6327	1	YCR093W	YCR093W_mRNA	0
III	286699	286699	1	+	19	1	Promoter	3	286762	287937	1176	1	YCR094W	YCR094W_mRNA	-63
III	286732	286748	17	+	7	2	Promoter	3	286762	287937	1176	1	YCR094W	YCR094W_mRNA	-14
III	289501	289501	1	+	6	1	Promoter	3	289639	289797	159	1	YCR095W-A	YCR095W-A_mRNA	-138
III	293823	293853	31	+	60	6	Promoter	3	293835	294321	487	1	YCR097W	YCR097W_mRNA	0
III	310928	310928	1	+	5	1	Promoter	3	310958	313456	2499	1	YCR106W	YCR106W_mRNA	-30
III	12866	12899	34	-	63	11	Exon (YCL067C_mRNA/YCL067C, exon 1 of 1)	3	12386	13018	633	2	YCL067C	YCL067C_mRNA	152
III	16886	16913	28	-	103	9	Promoter	3	15798	16880	1083	2	YCL064C	YCL064C_mRNA	-33
III	16944	16944	1	-	3	1	Promoter	3	15798	16880	1083	2	YCL064C	YCL064C_mRNA	-64
III	22154	22172	19	-	10	2	Promoter	3	18816	22106	3291	2	YCL061C	YCL061C_mRNA	-66
III	22858	22858	1	-	3	1	Exon (YCL059C_mRNA/YCL059C, exon 1 of 1)	3	22429	23379	951	2	YCL059C	YCL059C_mRNA	521
III	23396	23447	52	-	92	8	Promoter	3	22429	23379	951	2	YCL059C	YCL059C_mRNA	-68
III	24347	24366	20	-	13	3	Promoter	3	24032	24325	294	2	YCL057C-A	YCL057C-A_mRNA	-41
III	27351	27351	1	-	4	1	Promoter	3	26925	27359	435	2	YCL056C	YCL056C_mRNA	8
III	27379	27383	5	-	12	3	Promoter	3	26925	27359	435	2	YCL056C	YCL056C_mRNA	-24
III	27527	27594	68	-	28	7	Promoter	3	26925	27359	435	2	YCL056C	YCL056C_mRNA	-235
III	35410	35425	16	-	17	3	Promoter	3	34143	35393	1251	2	YCL052C	YCL052C_mRNA	-32
III	38825	38868	44	-	85	7	Promoter	3	37836	38801	966	2	YCL050C	YCL050C_mRNA	-67
III	39469	39469	1	-	6	1	Promoter	3	37836	38801	966	2	YCL050C	YCL050C_mRNA	-668
III	40739	40739	1	-	3	1	Promoter	3	39786	40724	939	2	YCL049C	YCL049C_mRNA	-15
III	40795	40795	1	-	4	1	Promoter	3	39786	40724	939	2	YCL049C	YCL049C_mRNA	-71
III	46906	46911	6	-	7	2	Promoter	3	44623	46905	2283	2	YCL045C	YCL045C_mRNA	-6
III	46945	46951	7	-	13	2	Promoter	3	44623	46905	2283	2	YCL045C	YCL045C_mRNA	-46
III	48372	48372	1	-	3	1	Promoter	3	47111	48364	1254	2	YCL044C	YCL044C_mRNA	-8
III	48447	48447	1	-	4	1	Promoter	3	47111	48364	1254	2	YCL044C	YCL044C_mRNA	-83
III	49005	49005	1	-	3	1	Promoter	3	47111	48364	1254	2	YCL044C	YCL044C_mRNA	-641
III	49160	49160	1	-	4	1	Promoter	3	47111	48364	1254	2	YCL044C	YCL044C_mRNA	-796
III	49267	49276	10	-	6	2	Promoter	3	47111	48364	1254	2	YCL044C	YCL044C_mRNA	-912
III	50249	50295	47	-	82	11	Promoter	3	48653	50221	1569	2	YCL043C	YCL043C_mRNA	-74
III	58744	58772	29	-	61	6	Promoter	3	57374	58678	1305	2	YCL037C	YCL037C_mRNA	-94
III	61168	61168	1	-	3	1	Promoter	3	60841	61173	333	2	YCL035C	YCL035C_mRNA	5
III	61198	61247	50	-	144	12	Promoter	3	60841	61173	333	2	YCL035C	YCL035C_mRNA	-74
III	63232	63232	1	-	3	1	Promoter	3	62776	63282	507	2	YCL033C	YCL033C_mRNA	50
III	65576	65619	44	-	90	7	Promoter	3	64675	65568	894	2	YCL031C	YCL031C_mRNA	-51
III	67727	67727	1	-	3	1	Exon (YCL030C_mRNA/YCL030C, exon 1 of 1)	3	65934	68333	2400	2	YCL030C	YCL030C_mRNA	606
III	67777	67777	1	-	3	1	Exon (YCL030C_mRNA/YCL030C, exon 1 of 1)	3	65934	68333	2400	2	YCL030C	YCL030C_mRNA	556
III	67836	67842	7	-	6	2	Exon (YCL030C_mRNA/YCL030C, exon 1 of 1)	3	65934	68333	2400	2	YCL030C	YCL030C_mRNA	497
III	67940	67944	5	-	7	2	Exon (YCL030C_mRNA/YCL030C, exon 1 of 1)	3	65934	68333	2400	2	YCL030C	YCL030C_mRNA	393
III	68377	68412	36	-	97	7	Promoter	3	65934	68333	2400	2	YCL030C	YCL030C_mRNA	-79
III	69956	69978	23	-	20	3	Promoter	3	68599	69921	1323	2	YCL029C	YCL029C_mRNA	-57
III	77942	77961	20	-	48	4	Promoter	3	76018	77919	1902	2	YCL025C	YCL025C_mRNA	-42
III	94361	94385	25	-	22	4	Promoter	3	92777	94270	1494	2	YCL017C	YCL017C_mRNA	-115
III	95792	95795	4	-	10	2	Promoter	3	94621	95763	1143	2	YCL016C	YCL016C_mRNA	-32
III	101822	101844	23	-	12	2	Promoter	3	101317	101788	472	2	YCL012C	YCL012C_mRNA	-56
III	103344	103402	59	-	95	6	Promoter	3	102075	103358	1284	2	YCL011C	YCL011C_mRNA	0
III	104265	104265	1	-	3	1	Promoter	3	103571	104350	780	2	YCL010C	YCL010C_mRNA	85
III	104332	104332	1	-	3	1	Promoter	3	103571	104350	780	2	YCL010C	YCL010C_mRNA	18
III	104366	104366	1	-	4	1	Promoter	3	103571	104350	780	2	YCL010C	YCL010C_mRNA	-16
III	105534	105596	63	-	105	7	Promoter	3	104619	105548	930	2	YCL009C	YCL009C_mRNA	0
III	106829	106872	44	-	69	9	Promoter	3	105696	106853	1158	2	YCL008C	YCL008C_mRNA	0
III	107283	107283	1	-	3	1	Promoter	3	106974	107366	393	2	YCL007C	YCL007C_mRNA	83
III	111712	111712	1	-	3	1	Promoter	3	110808	111675	868	2	YCL002C	YCL002C_mRNA	-37
III	118393	118403	11	-	20	2	Promoter	3	117380	118348	969	2	YCR002C	YCR002C_mRNA	-55
III	120492	120508	17	-	35	4	Promoter	3	119575	120318	744	2	YCR004C	YCR004C_mRNA	-190
III	122338	122338	1	-	3	1	Promoter	3	120946	122328	1383	2	YCR005C	YCR005C_mRNA	-10
III	122383	122391	9	-	15	3	Promoter	3	120946	122328	1383	2	YCR005C	YCR005C_mRNA	-63
III	123358	123358	1	-	3	1	Downstream (<1kb)	3	123577	123648	72	2	tP(AGG)C	tP(AGG)C_tRNA	290
III	123396	123396	1	-	5	1	Downstream (<1kb)	3	123577	123648	72	2	tP(AGG)C	tP(AGG)C_tRNA	252
III	123648	123648	1	-	3	1	Promoter	3	123577	123648	72	2	tP(AGG)C	tP(AGG)C_tRNA	0
III	126365	126365	1	-	3	1	Exon (YCR007C_mRNA/YCR007C, exon 1 of 1)	3	126011	126730	720	2	YCR007C	YCR007C_mRNA	365
III	131550	131623	74	-	58	7	Promoter	3	130745	131542	798	2	YCR009C	YCR009C_mRNA	-81
III	133230	133245	16	-	12	2	Promoter	3	132273	133124	852	2	YCR010C	YCR010C_mRNA	-121
III	137001	137001	1	-	8	1	Promoter	3	133724	136873	3150	2	YCR011C	YCR011C_mRNA	-128
III	142135	142135	1	-	3	1	Promoter	3	141217	142170	954	2	YCR015C	YCR015C_mRNA	35
III	142170	142190	21	-	23	5	Promoter	3	141217	142170	954	2	YCR015C	YCR015C_mRNA	0
III	142546	142546	1	-	3	1	Promoter	3	142364	142546	183	2	snR33	snR33_snoRNA	0
III	147663	147678	16	-	11	2	Promoter	3	144773	147634	2862	2	YCR017C	YCR017C_mRNA	-44
III	148559	148570	12	-	8	2	Exon (YCR018C_mRNA/YCR018C, exon 1 of 1)	3	148238	148903	666	2	YCR018C	YCR018C_mRNA	344
III	148601	148618	18	-	10	2	Exon (YCR018C_mRNA/YCR018C, exon 1 of 1)	3	148238	148903	666	2	YCR018C	YCR018C_mRNA	302
III	155096	155096	1	-	4	1	Promoter	3	154830	155096	267	2	YCR020C-A	YCR020C-A_mRNA	0
III	157207	157220	14	-	33	4	Promoter	3	156109	157107	999	2	YCR021C	YCR021C_mRNA	-113
III	160427	160463	37	-	13	3	Promoter	3	158538	160373	1836	2	YCR023C	YCR023C_mRNA	-90
III	163141	163145	5	-	21	2	Promoter	3	162945	163067	123	2	YCR024C-A	YCR024C-A_mRNA	-78
III	163195	163235	41	-	225	10	Promoter	3	162945	163067	123	2	YCR024C-A	YCR024C-A_mRNA	-168
III	166394	166425	32	-	21	4	Promoter	3	164111	166339	2229	2	YCR026C	YCR026C_mRNA	-86
III	168167	168167	1	-	3	1	Promoter	3	167370	167999	630	2	YCR027C	YCR027C_mRNA	-168
III	168199	168208	10	-	7	2	Downstream (<1kb)	3	168301	168372	72	2	tQ(UUG)C	tQ(UUG)C_tRNA	173
III	169359	169359	1	-	3	1	Promoter	3	168301	168372	72	2	tQ(UUG)C	tQ(UUG)C_tRNA	-987
III	172465	172465	1	-	3	1	Promoter	3	170886	172424	1539	2	YCR028C	YCR028C_mRNA	-41
III	172523	172523	1	-	3	1	Promoter	3	170886	172424	1539	2	YCR028C	YCR028C_mRNA	-99
III	173454	173536	83	-	72	8	Promoter	3	172950	173440	491	2	YCR028C-A	YCR028C-A_mRNA	-96
III	176477	176477	1	-	9	1	Promoter	3	173826	176438	2613	2	YCR030C	YCR030C_mRNA	-39
III	176509	176537	29	-	37	6	Promoter	3	173826	176438	2613	2	YCR030C	YCR030C_mRNA	-99
III	176915	176934	20	-	7	2	Promoter	3	173826	176438	2613	2	YCR030C	YCR030C_mRNA	-496
III	178220	178270	51	-	186	12	Promoter	3	177500	178220	721	2	YCR031C	YCR031C_mRNA	0
III	193028	193036	9	-	13	2	Promoter	3	191834	193018	1185	2	YCR035C	YCR035C_mRNA	-18
III	197195	197261	67	-	91	7	Promoter	3	194414	197185	2772	2	YCR037C	YCR037C_mRNA	-76
III	205417	205426	10	-	12	3	Promoter	3	201174	205397	4224	2	YCR042C	YCR042C_mRNA	-29
III	206668	206703	36	-	47	5	Promoter	3	206261	206644	384	2	YCR043C	YCR043C_mRNA	-59
III	207898	207898	1	-	3	1	Promoter	3	206877	207950	1074	2	YCR044C	YCR044C_mRNA	52
III	207938	207991	54	-	129	14	Promoter	3	206877	207950	1074	2	YCR044C	YCR044C_mRNA	0
III	210421	210449	29	-	27	5	Promoter	3	209914	210423	510	2	YCR046C	YCR046C_mRNA	0
III	211611	211649	39	-	52	9	Promoter	3	210718	211545	828	2	YCR047C	YCR047C_mRNA	-104
III	220157	220171	15	-	6	2	Promoter	3	218376	220067	1692	2	YCR054C	YCR054C_mRNA	-104
III	220766	220766	1	-	3	1	Promoter	3	218376	220067	1692	2	YCR054C	YCR054C_mRNA	-699
III	223281	223299	19	-	6	2	Promoter	3	220457	223228	2772	2	YCR057C	YCR057C_mRNA	-71
III	224245	224251	7	-	25	4	Promoter	3	223454	224230	777	2	YCR059C	YCR059C_mRNA	-21
III	236417	236424	8	-	11	3	Promoter	3	233125	236322	3198	2	YCR067C	YCR067C_mRNA	-102
III	240553	240592	40	-	72	10	Promoter	3	240103	240543	441	2	YCR071C	YCR071C_mRNA	-49
III	246648	246648	1	-	10	1	Promoter	3	242588	246583	3996	2	YCR073C	YCR073C_mRNA	-65
III	250039	250039	1	-	3	1	Promoter	3	249293	250045	753	2	YCR076C	YCR076C_mRNA	6
III	250070	250070	1	-	3	1	Promoter	3	249293	250045	753	2	YCR076C	YCR076C_mRNA	-25
III	252647	252657	11	-	17	3	Promoter	3	250238	252628	2391	2	YCR077C	YCR077C_mRNA	-29
III	262617	262705	89	-	124	13	Promoter	3	260311	262452	2142	2	YCR084C	YCR084C_mRNA	-253
III	264475	264503	29	-	34	5	Promoter	3	264006	264467	462	2	YCR087C-A	YCR087C-A_mRNA	-36
III	279850	279859	10	-	10	3	Promoter	3	276764	279820	3057	2	YCR092C	YCR092C_mRNA	-39
III	289292	289315	24	-	24	5	Promoter	3	288170	289258	1089	2	YCR095C	YCR095C_mRNA	-57
III	302968	302968	1	-	5	1	Promoter	3	302482	303030	549	2	YCR101C	YCR101C_mRNA	62
III	303034	303034	1	-	4	1	Promoter	3	302482	303030	549	2	YCR101C	YCR101C_mRNA	-4
IV	1795	1795	1	+	10	1	Promoter	4	1802	2953	1152	1	YDL248W	YDL248W_mRNA	-7
IV	4762	4762	1	+	3	1	Distal Intergenic	4	3762	3836	75	1	YDL247W-A	YDL247W-A_mRNA	1000
IV	22642	22657	16	+	22	4	Promoter	4	22823	25876	3054	1	YDL240W	YDL240W_mRNA	-166
IV	30614	30638	25	+	20	4	Promoter	4	30657	31829	1173	1	YDL237W	YDL237W_mRNA	-19
IV	32235	32290	56	+	24	6	Promoter	4	32296	33234	939	1	YDL236W	YDL236W_mRNA	-6
IV	38458	38478	21	+	41	4	Promoter	4	38487	38597	111	1	YDL232W	YDL232W_mRNA	-9
IV	42650	42650	1	+	4	1	Promoter	4	42700	43707	1008	1	YDL230W	YDL230W_mRNA	-50
IV	42688	42688	1	+	3	1	Promoter	4	42700	43707	1008	1	YDL230W	YDL230W_mRNA	-12
IV	44030	44044	15	+	89	6	Promoter	4	44065	45906	1842	1	YDL229W	YDL229W_mRNA	-21
IV	45270	45270	1	+	3	1	Exon (YDL229W_mRNA/YDL229W, exon 1 of 1)	4	44065	45906	1842	1	YDL229W	YDL229W_mRNA	1205
IV	52399	52412	14	+	9	2	Promoter	4	52445	54100	1656	1	YDL225W	YDL225W_mRNA	-33
IV	65188	65233	46	+	41	7	Promoter	4	65242	65765	524	1	YDL219W	YDL219W_mRNA	-9
IV	73587	73587	1	+	5	1	Distal Intergenic	4	78426	79058	633	1	YDL212W	YDL212W_mRNA	-4839
IV	78379	78406	28	+	47	4	Promoter	4	78426	79058	633	1	YDL212W	YDL212W_mRNA	-20
IV	87441	87503	63	+	129	14	Promoter	4	87512	87982	471	1	YDL208W	YDL208W_mRNA	-9
IV	88210	88266	57	+	150	11	Promoter	4	88248	89864	1617	1	YDL207W	YDL207W_mRNA	0
IV	88516	88516	1	+	3	1	Exon (YDL207W_mRNA/YDL207W, exon 1 of 1)	4	88248	89864	1617	1	YDL207W	YDL207W_mRNA	268
IV	88562	88562	1	+	4	1	Exon (YDL207W_mRNA/YDL207W, exon 1 of 1)	4	88248	89864	1617	1	YDL207W	YDL207W_mRNA	314
IV	90039	90039	1	+	3	1	Promoter	4	90176	92464	2289	1	YDL206W	YDL206W_mRNA	-137
IV	94107	94117	11	+	7	2	Promoter	4	94605	95786	1182	1	YDL204W	YDL204W_mRNA	-488
IV	94576	94599	24	+	44	5	Promoter	4	94605	95786	1182	1	YDL204W	YDL204W_mRNA	-6
IV	98431	98455	25	+	19	4	Promoter	4	98475	99224	750	1	YDL202W	YDL202W_mRNA	-20
IV	99458	99458	1	+	4	1	Promoter	4	99561	100421	861	1	YDL201W	YDL201W_mRNA	-103
IV	99490	99490	1	+	14	1	Promoter	4	99561	100421	861	1	YDL201W	YDL201W_mRNA	-71
IV	99528	99544	17	+	24	3	Promoter	4	99561	100421	861	1	YDL201W	YDL201W_mRNA	-17
IV	103617	103620	4	+	8	2	Distal Intergenic	4	106741	107070	330	1	YDL196W	YDL196W_mRNA	-3121
IV	107079	107089	11	+	22	3	Promoter	4	107208	111029	3822	1	YDL195W	YDL195W_mRNA	-119
IV	107122	107127	6	+	6	2	Promoter	4	107208	111029	3822	1	YDL195W	YDL195W_mRNA	-81
